url,identifier,dataset_title,description,thema_name,set_name,subset_name,einheit_kurz,einheit_lang
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_142.csv,214@statistisches-amt-kanton-zuerich,Schül. Berufsschule [pro 1000 Einw.],Anzahl BerufsschülerInnen gemessen an der zivilrechtlichen Bevölkerung Ende Vorjahr,Bevölkerung und Soziales,Bildung,Schüler Mittelschule und Berufsbildung,pro 1000 Einw.,pro Tausend Einwohner
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_146.csv,216@statistisches-amt-kanton-zuerich,Schül. Mittelschule [pro 1000 Einw.],Anzahl MittelschülerInnen inkl. LangzeitgymnasiastenInnen und SchülerInnen privater Mittelschulen gemessen an der zivilrechtlichen Bevölkerung Ende Vorjahr.,Bevölkerung und Soziales,Bildung,Schüler Mittelschule und Berufsbildung,pro 1000 Einw.,pro Tausend Einwohner
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_148.csv,217@statistisches-amt-kanton-zuerich,Schül. Oberstufe [pro 1000 Einw.],Anzahl OberstufenschülerInnen (exklusiv LangzeitgymnasiastInnen) gemessen an der zivilrechtlichen Bevölkerung Ende Vorjahr,Bevölkerung und Soziales,Bildung,Schüler Volksschule,pro 1000 Einw.,pro Tausend Einwohner
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_150.csv,218@statistisches-amt-kanton-zuerich,Schül. Primarschule [pro 1000 Einw.],Anzahl PrimarschülerInnen gemessen an der zivilrechtlichen Bevölkerung Ende Vorjahr,Bevölkerung und Soziales,Bildung,Schüler Volksschule,pro 1000 Einw.,pro Tausend Einwohner
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_371.csv,229@statistisches-amt-kanton-zuerich,Neuerstellte EFH [Whg.],Neu erstellte Einfamilienhäuser,Bau und Immobilien,"Wohnungen, Wohnbautätigkeit",Wohnbautätigkeit,Whg.,Wohnungen
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_372.csv,230@statistisches-amt-kanton-zuerich,Neuerstellte MFH-Wohnungen [Whg.],Neu erstellte Wohnungen in Mehrfamilienhäusern,Bau und Immobilien,"Wohnungen, Wohnbautätigkeit",Wohnbautätigkeit,Whg.,Wohnungen
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_370.csv,232@statistisches-amt-kanton-zuerich,Neuerstellte Wohnungen [Whg.],Total neu erstellte Wohnungen,Bau und Immobilien,"Wohnungen, Wohnbautätigkeit",Wohnbautätigkeit,Whg.,Wohnungen
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_305.csv,275@statistisches-amt-kanton-zuerich,Restaurants pro 1000 Einwohner [Anz.],"Anzahl Restaurants, Imbissstuben, Tea-Rooms und Gelaterias inkl. Restaurants mit begrenzten Übernachtungsmöglichkeiten (2008: NOGA2008 561001 und 561002; bis 2005: NOGA2002 HA 553) gemessen an der Bevölkerungszahl Ende des Vorjahres. Bruch in der Reihe zwischen 2008 und 2011 aufgrund des Übergangs von der alten BZ-Methodik auf STATENT. Daten des aktuellsten Jahres provisorisch.",Arbeit und Unternehmen,"Beherbergung, Gastronomie",Gastronomie (Restaurants),Anz.,Anzahl
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_466.csv,279@statistisches-amt-kanton-zuerich,Schül. Tertiärstufe [Pers. pro 1000 Einw.],"inkl. Universität Zürich, aber ohne ETH; gemessen an der zivilrechtlichen Bevölkerung Ende Vorjahr",Bevölkerung und Soziales,Bildung,Schüler nach ISCED,Pers. pro 1000 Einw.,Personen pro Tausend Einwohner
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_581.csv,335@statistisches-amt-kanton-zuerich,Arbeitsstätten im Primärsektor [Anz.],Anzahl Arbeitsstätten des Primärsektors (Land- und Forstwirtschaft). Aktuellstes Jahr provisorisch.,Arbeit und Unternehmen,"Betriebe, Beschäftigte (Sektoren 1, 2 und 3)",Arbeitsstätten / Betriebe,Anz.,Anzahl
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_584.csv,336@statistisches-amt-kanton-zuerich,Mikrobetriebe (0-9 VZÄ) [Anz.],Anzahl Mikrobetriebe mit einer Beschäftigung von weniger als 10 Vollzeitäquivalenten. Aktuellstes Jahr provisorisch.,Arbeit und Unternehmen,"Betriebe, Beschäftigte (Sektoren 1, 2 und 3)",Arbeitsstätten / Betriebe,Anz.,Anzahl
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_585.csv,337@statistisches-amt-kanton-zuerich,Kleine Betriebe (10-49 VZÄ) [Anz.],Anzahl Kleine Betriebe mit einer Beschäftigung von 10 - 49 Vollzeitäquivalenten. Aktuellstes Jahr provisorisch.,Arbeit und Unternehmen,"Betriebe, Beschäftigte (Sektoren 1, 2 und 3)",Arbeitsstätten / Betriebe,Anz.,Anzahl
https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_593.csv,357@statistisches-amt-kanton-zuerich,VZÄ im Tertiärsektor [Anz.],"Beschäftigung des Tertiärsektors (Handel, Instandhaltung/Reparatur, Verkehr/Lagerei, Gastgewerbe/Gastronomie, Information/Kommunikation, Finanz-/Versicherungs-DL, Grundstücks-/Wohnungswesen, weitere DL, öffentliche Verwaltung, Erziehung/Unterrricht, Gesundheit, Kunst) in Vollzeitäquivalenten. Aktuellstes Jahr provisorisch. Ab 2015 Berechnung mit neuem Modell, was in Bezug auf die VZÄ zu einem Bruch in der Zeitreihe zwischen 2014 und 2015 führt. Werte < 4 werden nicht ausgewiesen.",Arbeit und Unternehmen,"Betriebe, Beschäftigte (Sektoren 1, 2 und 3)",Beschäftigung / Vollzeitäquivalente,Anz.,Anzahl
